"자치구별(1)",자치구별(2),1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020
"자치구별(1)",자치구별(2),스크린수 (개),스크린수 (개),스크린수 (개),스크린수 (개),스크린수 (개),스크린수 (개),스크린수 (개),스크린수 (개),스크린수 (개),스크린수 (개),스크린수 (개),개소수 (개소),스크린수 (개),개소수 (개소),스크린수 (개),개소수 (개소),스크린수 (개),개소수 (개소),스크린수 (개),개소수 (개소),스크린수 (개),개소수 (개소),스크린수 (개),좌석수 (개),개소수 (개소),스크린수 (개),좌석수 (개),개소수 (개소),스크린수 (개),좌석수 (개),개소수 (개소),스크린수 (개),좌석수 (개),개소수 (개소),스크린수 (개),좌석수 (개),개소수 (개소),스크린수 (개),좌석수 (개),개소수 (개소),스크린수 (개),좌석수 (개),개소수 (개소),스크린수 (개),좌석수 (개),개소수 (개소),스크린수 (개),좌석수 (개),개소수 (개소),스크린수 (개),좌석수 (개),개소수 (개소),스크린수 (개),좌석수 (개),개소수 (개소),스크린수 (개),좌석수 (개)
"합계",강서구,1,1,-,-,-,-,-,6,3,1,6,-,9,1,9,1,9,1,9,1,9,1,9,1638,1,9,1638,2,19,3765,2,19,3626,2,19,3626,1,10,2127,3,21,3817,4,21,3817,5,27,4632,4,27,4632,5,35,5849,5,35,5849
"합계",구로구,9,9,9,6,5,1,1,5,0,10,10,-,10,1,10,1,10,2,20,2,20,2,20,3505,2,20,3403,2,20,4526,2,20,4526,3,25,3853,3,25,3923,3,25,3967,3,25,3967,3,25,3742,3,25,3506,3,25,3358,3,25,3358
"합계",금천구,-,-,1,1,1,1,1,1,1,1,1,-,8,1,8,1,8,1,8,1,8,1,8,1606,1,8,1606,1,8,1606,1,8,1606,2,14,2660,2,14,2660,2,14,2660,2,14,2660,2,14,2660,2,14,2660,2,14,2660,2,14,2660
"합계",영등포구,11,11,11,11,11,7,7,5,6,5,10,-,16,4,23,4,23,5,31,3,16,4,27,5629,4,26,5629,2,18,3688,3,27,5119,3,27,5005,3,27,5046,3,28,5438,3,28,5438,3,28,5430,3,28,5308,3,28,5308,3,28,5308
"합계",동작구,5,5,3,2,2,2,2,7,6,6,6,-,2,2,2,2,6,3,12,2,11,1,6,720,1,6,720,1,6,720,1,6,816,2,8,966,2,8,966,2,8,1032,2,8,1032,2,8,1032,2,8,1038,2,8,978,2,8,978
"합계",관악구,7,7,6,6,5,2,2,10,2,4,4,-,8,1,8,2,13,2,13,2,13,3,21,3307,3,21,3307,2,13,2143,3,18,2807,2,13,2153,2,13,2178,2,13,2178,2,13,2178,2,13,2189,2,13,2181,2,13,2181,2,13,2181
"합계",서초구,5,5,5,7,7,5,5,10,12,10,10,-,17,4,17,3,16,4,19,3,16,3,16,2393,3,16,2332,2,15,2331,2,15,2261,2,15,2331,2,13,2082,2,12,1608,2,12,1620,2,12,1620,2,12,1803,2,12,1601,2,12,1653
"합계",강남구,23,23,30,24,26,27,27,36,43,46,45,-,38,8,38,10,47,8,52,7,49,5,48,10061,6,48,9861,6,46,8819,6,46,8948,6,46,7861,8,47,7769,8,48,7794,7,48,7716,8,50,7783,8,47,7466,8,40,6619,9,54,8208
"합계",송파구,7,7,7,7,6,5,5,11,11,28,12,-,12,3,12,3,12,3,12,2,4,3,11,2037,3,11,2236,2,9,1936,2,9,1927,2,9,1927,2,28,5835,2,28,5835,5,40,7505,5,40,7505,3,38,7097,3,38,7017,3,38,7017
"합계",강동구,7,7,5,5,7,8,8,7,6,6,12,-,27,3,27,3,27,3,27,4,31,3,27,5206,2,20,3695,2,22,4043,2,22,4043,2,22,3963,2,22,3963,3,28,5203,3,28,5203,3,26,4783,3,26,4450,3,26,3778,3,26,43
