title,budget,genres,country,charactor,director,vote_score,vote_count,vote_weight
15045,26000000,"[35, 10751, 14]",[0],31031,54644,5.1,209,4.063984425282786
300906,7000,[27],[4],1591417,1299867,6.0,52,3.988946304460832
97614,12000000,"[80, 18, 53]","[9, 0]",59315,15115,5.934,557,4.466666271780436
14181,7000000,"[80, 18, 53]",[0],12835,24294,6.739,527,4.654990226364328
24124,1500000,[27],"[0, 7]",114809,70415,6.268,291,4.3022655758595745
301056,25000000,[99],[6],17605,1382087,6.1,25,3.954799661024917
637053,80000,"[35, 18, 10749]",[0],1308373,2425997,7.2,99,4.123030157223455
1537,45000000,"[80, 18, 53]",[0],2231,7017,6.222,884,4.7757690953537715
2900,75000000,"[18, 878, 53]",[0],6885,29524,5.6,758,4.4852276811357275
388202,10000000,[53],[0],1508566,30058,4.5,111,3.9590962810216603
207769,950000,"[27, 53]","[0, 10]",109156,1191051,5.8,210,4.150965113465853
223,1288000,"[9648, 18, 53, 10749]",[0],3359,2636,7.935,1333,5.813945285033987
11329,60000000,"[18, 53]",[0],193,5501,6.9,998,5.113734637664709
323676,29000000,[35],[0],40462,170820,5.8,1175,4.7476481877193795
9367,7225,"[28, 80, 53]","[4, 0]",57469,2294,6.7,892,4.959475744609145
543583,20000000,"[16, 12, 10751, 14]",[0],8697,71849,6.7,53,4.0142618660232285
721045,170000000,[14],[13],8697,2699064,5.6,5,3.9244684715200573
1909,25000000,"[10749, 18, 35]",[0],3084,25210,6.7,619,4.734380358270386
285783,35000000,"[12, 18, 53]",[0],2282,24,6.966,2790,5.904293728165857
10805,22000000,"[18, 10402]",[0],724,16483,5.8,371,4.293478800305478
11592,13000000,"[35, 80, 53]",[0],8975,10367,6.806,532,4.677749805147959
511322,10000000,[80],"[10, 6, 0]",1327,15557,6.711,884,4.957707942414166
354287,60000000,"[35, 18, 10752]",[0],1904,114334,5.551,937,4.548477975537465
9067,25000000,"[28, 35, 14, 878]",[0],56890,56891,5.449,365,4.219618557311111
403,7500000,[18],[0],5698,5696,7.244,1251,5.435385404836584
444308,40000,"[18, 35]",[6],11179,32250,6.964,97,4.104750097553581
7984,13000000,[18],"[6, 44]",4935,53334,7.914,1384,5.841452728808592
65229,1000000,[18],[9],240733,68813,7.3,557,4.8380102641457325
458109,8500000,"[9648, 53]","[44, 41, 0]",517,220331,5.5,336,4.2094890947313734
10339,4500000,"[12, 18]",[0],5403,6593,7.0,289,4.4188424357945895
1642,22000000,"[80, 18, 9648, 53, 28]",[0],18325,11472,5.968,1056,4.768126735117775
469877,100,"[18, 10749]",[6],1350362,1867597,4.1,27,3.9220731803739484
14534,12000000,"[18, 36]",[0],15277,44847,7.35,523,4.809444839294114
11546,10000000,"[35, 80]",[0],27237,69801,4.541,672,4.112057456002864
3784,29000000,"[18, 10749, 35]",[0],1158,1201,6.7,441,4.553371076236448
21506,2000000,"[27, 9648, 53]",[3],112862,124640,6.943,212,4.2951098009949265
