0,1,2,3,4,5,6,7
{810693: 'Jujutsu Kaisen 0'},0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",{119143: 'Kana Hanazawa'},{2264366: 'Sunghoo Park'},7.774,243
{894169: 'Vendetta'},0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{85977: 'Clive Standen'},{583932: 'Jared Cohn'},6.54,125
{610150: 'Dragon Ball Super: Super Hero'},0,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",{85286: 'Toshio Furukawa'},{2403335: 'Tetsuro Kodama'},7.629,97
{791348: 'Constantine: The House of Mystery'},0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{127712: 'Matt Ryan'},{1637776: 'Matt Peters'},6.859,46
{718930: 'Bullet Train'},85900000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{125025: 'Joey King'},{40684: 'David Leitch'},7.306,178
{752623: 'The Lost City'},74000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{38673: 'Channing Tatum'},{931525: 'Aaron Nee'},6.774,1709
{338953: 'Fantastic Beasts: The Secrets of Dumbledore'},200000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{9642: 'Jude Law'},{11343: 'David Yates'},6.861,2488
{697799: 'WarHunt'},0,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'LV', 'name': 'Latvia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{84215: 'Jackson Rathbone'},{21701: 'Mauro Borrelli'},5.231,52
{667739: 'The Man from Toronto'},0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{57755: 'Woody Harrelson'},{143059: 'Patrick Hughes'},6.497,604
{888195: 'Hot Seat'},0,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{2461: 'Mel Gibson'},{1211636: 'James Cullen Bressack'},6.23,37
