,title,vote_weight,predict
0,616037,0,0.023247577
1,507086,0,0.054669715
2,438148,1,0.17181823
3,361743,1,0.065222435
4,756999,1,0.64726675
5,453395,0,0.04623888
6,718789,1,0.03786193
7,725201,1,0.03686777
8,614934,1,0.16238964
9,634649,0,0.0461337
10,675353,0,0.10169819
11,718930,1,0.17024615
12,836225,1,0.8486961
13,752623,0,0.28264526
14,626735,1,0.6765843
15,338953,0,0.03681308
16,639933,0,0.24699245
17,508947,0,0.060294148
18,526896,0,0.23110388
19,568124,0,0.6398805
20,335787,0,0.08151254
21,635302,0,0.7858087
22,414906,0,0.042372502
23,438695,0,0.16560128
24,809107,1,0.55192566
25,169,0,0.4717965
26,629542,1,0.32787526
27,106,0,0.6218785
28,580489,0,0.09327955
29,346910,0,0.21089767
30,406759,0,0.059470296
31,539681,1,0.15157135
32,34851,0,0.44077882
33,588228,0,0.03668805
34,299536,0,0.015341451
35,566525,0,0.07356006
36,440,0,0.43756878
37,459151,0,0.17702372
38,303857,0,0.7761978
39,744275,0,0.78520113
40,524434,0,0.04792646
41,698948,1,0.33523962
42,460458,0,0.4889647
43,809717,1,0.7855825
44,460465,0,0.76246345
45,760104,1,0.68772763
46,324786,0,0.4423943
47,508943,0,0.046146303
48,763285,1,0.49773288
49,19995,0,0.026467694
50,337404,0,0.03649109
51,823625,1,0.5285064
52,397567,1,0.61582416
53,648579,1,0.6612425
54,518068,1,0.62675613
55,585245,1,0.29866174
56,425909,0,0.26965395
57,20982,1,0.53922164
58,545611,1,0.6689313
59,476669,0,0.16622065
60,675445,1,0.76357245
61,791373,0,0.2427162
62,423108,0,0.59969884
63,624860,0,0.040095802
64,512195,0,0.051977403
65,317442,1,0.883376
66,436969,0,0.04216581
67,646385,0,0.6484083
68,632727,1,0.7787038
69,299534,0,0.008972623
70,696806,0,0.16669203
71,671,0,0.07429593
72,24428,0,0.030876558
73,395,0,0.23502049
74,674,0,0.057238225
75,537915,0,0.80089146
76,7445,0,0.54655284
77,587272,1,0.71229166
78,762504,1,0.27852407
79,672,0,0.111394316
80,399566,0,0.051792283
81,550988,0,0.12903246
82,767,0,0.023524877
83,529203,0,0.39740878
84,673,0,0.069524154
85,585,0,0.08566994
86,497698,0,0.05178299
87,589761,1,0.7178159
88,12445,0,0.07429904
89,385128,0,0.036601484
90,50014,0,0.5569828
