title,budget,genres,country,charactor,director,vote_score,vote_count,vote_weight
베니의 주말,6500000,코미디,United States of America,Jonathan Silverman,Ted Kotcheff,6.429,801,4.795730285462291
로빈 훗의 모험,2033000,모험,United States of America,Olivia de Havilland,William Keighley,7.5,557,4.892379809147973
제이 앤 사일런트 밥,22000000,코미디,United States of America,Jason Mewes,Kevin Smith,6.387,1235,5.036648226621843
리얼 술래잡기,1250000,스릴러,Japan,Mariko Shinoda,Sion Sono,6.689,257,4.325915330304527
스플래쉬,8000000,코미디,United States of America,Daryl Hannah,Ron Howard,6.25,1081,4.898265283752263
티파니에서 아침을,2500000,코미디,United States of America,George Peppard,Blake Edwards,7.701,3574,6.587141710475362
뮨: 달의 요정,17000000,애니메이션,France,Omar Sy,Alexandre Heboyan,7.305,463,4.720813881537207
브리짓 존스의 일기: 열정과 애정,40000000,코미디,France,Colin Firth,Beeban Kidron,6.265,2379,5.36074626081473
미드 90,258158,드라마,United States of America,Katherine Waterston,Jonah Hill,7.485,1208,5.514408449317019
스파이 게임,115000000,액션,United Kingdom,Brad Pitt,Tony Scott,6.93,1705,5.524764911562268
파이터,25000000,드라마,United States of America,Christian Bale,David O. Russell,7.4,3662,6.392292286636685
원더랜드,5000000,범죄,Canada,Dylan McDermott,James Cox,6.1,200,4.176680931192702
크로커다일,2800000,공포,United States of America,Caitlin Martin,Tobe Hooper,5.3,130,4.029553318349419
피너츠 송,43000000,로맨스,United States of America,Selma Blair,Roger Kumble,5.476,888,4.499853421327239
닥터 두리틀 2,70000000,코미디,United States of America,Kristen Wilson,Steve Carr,5.303,1419,4.59358490399014
ARQ,2000000,SF,United States of America,Robbie Amell,Tony Elliott,6.093,989,4.785552981053391
크립쇼 2,3500000,공포,United States of America,Dorothy Lamour,Michael Gornick,6.235,423,4.430477317205317
캠프 엑스-레이,1000000,드라마,United States of America,Payman Maadi,Peter Sattler,6.752,880,4.969962391194574
버드맨 오브 알카트라즈,2650000,범죄,United States of America,Karl Malden,John Frankenheimer,7.5,223,4.384522658690783
미드나잇 스페셜,18000000,모험,Greece,Jaeden Martell,Jeff Nichols,6.239,1635,5.132000422793556
컨트롤러,50200000,SF,United States of America,Emily Blunt,George Nolfi,6.719,3860,5.93841325686177
비비스와 버트헤드,12000000,애니메이션,United States of America,Bruce Willis,Mike Judge,6.614,528,4.6233477257407865
베리드,1987650,드라마,France,José Luis García Pérez,Rodrigo Cortés,6.613,2369,5.571930379764582
마이애미 바이스,135000000,액션,Uruguay,Colin Farrell,Michael Mann,5.952,1412,4.907441843942156
더티 파이터 2,5000000,액션,United States of America,Sondra Locke,James Fargo,6.2,357,4.3593049629487535
헌티드,55000000,드라마,United States of America,Benicio del Toro,William Friedkin,6.148,598,4.556684442697874
마약 전쟁,1500000,드라마,Puerto Rico,Benicio del Toro,José Iván Santiago,7.9,92,4.15009000735485
스파이 서바이버,20000000,범죄,United Kingdom,Milla Jovovich,James McTeigue,5.6,857,4.532211598928946
