0,1,2,3,4,5,6
{705861: 'Hustle'},0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{15758: 'Queen Latifah'},{550121: 'Jeremiah Zagar'},7.863
{580489: 'Venom: Let There Be Carnage'},110000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{57755: 'Woody Harrelson'},{1333: 'Andy Serkis'},6.966
{406759: 'Moonfall'},146000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{17178: 'Patrick Wilson'},{6046: 'Roland Emmerich'},6.457
{628900: 'The Contractor'},0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{11107: 'Ben Foster'},{119293: 'Tarik Saleh'},6.5
{566525: 'Shang-Chi and the Legend of the Ten Rings'},150000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1337: 'Tony Leung Chiu-wai'},{1144604: 'Destin Daniel Cretton'},7.676
{880313: 'The Wrath of God'},0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'AR', 'name': 'Argentina'}]",{140538: 'Juan Minujín'},{1321245: 'Sebastián Schindel'},6.5
{893297: 'American Sicario'},0,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{3294354: 'Philippe A. Haddad'},{582827: 'RJ Collins'},5.9
{998771: 'Si Saben Como me pongo Pa Que Me Invitan? 2'},0,"[{'id': 35, 'name': 'Comedy'}]","[{'iso_3166_1': 'CO', 'name': 'Colombia'}]",{1568249: 'Ricardo Quevedo'},{1568247: 'Fernando Ayllón'},2.0
{809140: 'Father Stu'},0,"[{'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{2461: 'Mel Gibson'},{3505167: 'Rosalind Ross'},7.67
{459151: 'The Boss Baby: Family Business'},82000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{11006: 'James Marsden'},{18864: 'Tom McGrath'},7.539
{912598: 'Bubble'},0,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",{3447750: 'Riria'},{1148353: 'Tetsuro Araki'},7.502
{774825: 'The Ice Age Adventures of Buck Wild'},0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{11108: 'Simon Pegg'},{5718: 'John C. Donkin'},6.8
{829557: '365 Days: This Day'},0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'PL', 'name': 'Poland'}]",{2349355: 'Michele Morrone'},{1192152: 'Tomasz Mandes'},5.841
{628878: 'Panama'},0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'PR', 'name': 'Puerto Rico'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{2349355: 'Michele Morrone'},{20193: 'Mark Neveldine'},5.9
{945657: 'Titanic 666'},0,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{50668: 'Jamie Bamber'},{21825: 'Nick Lyon'},5.6
{843241: 'The Seven Deadly Sins: Cursed by Light'},0,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",{149894: 'Yuki Kaji'},{1250035: 'Takayuki Hamana'},7.9
{708471: 'The Last Zombie'},0,"[{'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'AR', 'name': 'Argentina'}]",{143604: 'Matías Desiderio'},{2627357: 'Martín Basterretche'},5.7
{756681: 'Veneciafrenia'},0,"[{'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",{10916: 'Caterina Murino'},{57865: 'Álex de la Iglesia'},6.029
{524434: 'Eternals'},200000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{512991: 'Richard Madden'},{1395183: 'Chloé Zhao'},7.082
{799876: 'The Outfit'},0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{1059597: 'Zoey Deutch'},{221850: 'Graham Moore'},7.1
{973608: 'Larva Pendant'},0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}]",[],{1485137: 'Hong Beom-gi'},{3542282: 'Young-cheol Joe'},7.0
{928270: 'Heatwave'},0,"[{'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{159962: 'Kat Graham'},{5917: 'Ernie Barbarash'},7.2
{809717: 'Moonbound'},2000000,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'AT', 'name': 'Austria'}, {'iso_3166_1': 'DE', 'name': 'Germany'}]",{1974020: 'Dirk Petrick'},{114589: 'Ali Samadi Ahadi'},6.217
{798223: 'Recurrence'},0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'AR', 'name': 'Argentina'}]",{1073034: 'Luisana Lopilato'},{1315165: 'Alejandro Montiel'},6.11
{460458: 'Resident Evil: Welcome to Raccoon City'},40000000,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{1223726: 'Robbie Amell'},{100734: 'Johannes Roberts'},6.12
{778855: 'Chickenhare and the Hamster of Darkness'},0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'FR', 'name': 'France'}]",{149684: 'Joe Ochman'},{76100: 'Ben Stassen'},7.5
{648579: 'The Unbearable Weight of Massive Talent'},30000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1253360: 'Pedro Pascal'},{1211000: 'Tom Gormican'},6.99
{975120: 'Father There Is Only One 3'},0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",{10847: 'Santiago Segura'},{10847: 'Santiago Segura'},5.9
{614934: 'Elvis'},85000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10402, 'name': 'Music'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{31: 'Tom Hanks'},{6201: 'Baz Luhrmann'},7.769
"{303857: ""Dragon Ball Z: Resurrection 'F'""}",5000000,"[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{122501: 'Ryou Horikawa'},{1083452: 'Tadayoshi Yamamuro'},6.821
