title,poster_path,release_date,budget,genres,country,main_charactor,director,runtime,overview,vote_average,vote_count
{9679: 'Gone in Sixty Seconds'},https://image.tmdb.org/t/p/original/lFsJJjnGcNhewSIM9XBTaHsI2et.jpg,2000-06-09,90000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1771: 'Giovanni Ribisi'},{58498: 'Dominic Sena'},118,"Upon learning that he has to come out of retirement to steal 50 cars in one night to save his brother Kip's life, former car thief Randall ""Memphis"" Raines enlists help from a few ""boost happy"" pals to accomplish a seemingly impossible feat. From countless car chases to relentless cops, the high-octane excitement builds as Randall swerves around more than a few roadblocks to keep Kip alive.",6.388,3637
{77174: 'ParaNorman'},https://image.tmdb.org/t/p/original/9DZPtuYTKYxt6vzHvZ5FLThG4fl.jpg,2012-08-03,60000000,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{558925: 'Tucker Albrizzi'},{154705: 'Chris Butler'},90,"In the town of Blithe Hollow, Norman Babcock can speak to the dead, but no one other than his eccentric new friend believes his ability is real. One day, Norman's eccentric uncle tells him of a ritual he must perform to protect the town from a curse cast by a witch centuries ago.",6.9,2123
{316029: 'The Greatest Showman'},https://image.tmdb.org/t/p/original/b9CeobiihCx1uG1tpw8hXmpi7nm.jpg,2017-12-20,84000000,"[{'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{29222: 'Zac Efron'},{1276373: 'Michael Gracey'},105,"The story of American showman P.T. Barnum, founder of the circus that became the famous traveling Ringling Bros. and Barnum & Bailey Circus.",7.936,8236
{16353: 'Ong Bak 2'},https://image.tmdb.org/t/p/original/sGyB8kVPQsofyQV1T0jE2d6k4q4.jpg,2008-12-04,8500000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'TH', 'name': 'Thailand'}]",{81039: 'Sarunyu Wongkrachang'},{57274: 'Panna Rittikrai'},98,Moments from death a young man is rescued by a renowned warrior. Realizing unsurpassed physical potential in the young boy he trains him into the most dangerous man alive. As he becomes a young man he goes on a lone mission of vengeance against the vicious slave traders who enslaved him as a youth and the treacherous warlord who killed his father.,6.41,515
{44214: 'Black Swan'},https://image.tmdb.org/t/p/original/8XYghKF0xkxp5A7QtK2F5vffdpZ.jpg,2010-12-03,13000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{18973: 'Mila Kunis'},{6431: 'Darren Aronofsky'},108,A journey through the psyche of a young ballerina whose starring role as the duplicitous swan queen turns out to be a part for which she becomes frighteningly perfect.,7.65,12470
{514847: 'The Hunt'},https://image.tmdb.org/t/p/original/wxPhn4ef1EAo5njxwBkAEVrlJJG.jpg,2020-03-11,14000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'JP', 'name': 'Japan'}]",{448: 'Hilary Swank'},{79434: 'Craig Zobel'},90,"Twelve strangers wake up in a clearing. They don't know where they are—or how they got there. In the shadow of a dark internet conspiracy theory, ruthless elitists gather at a remote location to hunt humans for sport. But their master plan is about to be derailed when one of the hunted turns the tables on her pursuers.",6.655,2413
{254470: 'Pitch Perfect 2'},https://image.tmdb.org/t/p/original/vQKzBHxHalu1Dp8yga7Ju9IXQDD.jpg,2015-05-07,29000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{29221: 'Brittany Snow'},{9281: 'Elizabeth Banks'},115,"The Bellas are back, and they are better than ever. After being humiliated in front of none other than the President of the United States of America, the Bellas are taken out of the Aca-Circuit. In order to clear their name, and regain their status, the Bellas take on a seemingly impossible task: winning an international competition no American team has ever won. In order to accomplish this monumental task, they need to strengthen the bonds of friendship and sisterhood and blow away the competition with their amazing aca-magic! With all new friends and old rivals tagging along for the trip, the Bellas can hopefully accomplish their dreams.",6.881,4842
{489: 'Good Will Hunting'},https://image.tmdb.org/t/p/original/bABCBKYBK7A5G1x0FzoeoNfuj2.jpg,1997-12-05,10000000,"[{'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{2157: 'Robin Williams'},{5216: 'Gus Van Sant'},127,"Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he solves a difficult graduate-level math problem, his talents are discovered by Professor Gerald Lambeau, who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he will get treatment from therapist Sean Maguire.",8.143,9849
{74: 'War of the Worlds'},https://image.tmdb.org/t/p/original/6Biy7R9LfumYshur3YKhpj56MpB.jpg,2005-06-28,132000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{501: 'Dakota Fanning'},{488: 'Steven Spielberg'},117,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",6.477,7025
{1091: 'The Thing'},https://image.tmdb.org/t/p/original/tzGY49kseSE9QAKk47uuDGwnSCu.jpg,1982-06-25,15000000,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{65827: 'Keith David'},{11770: 'John Carpenter'},109,"Members of an American scientific research outpost in Antarctica find themselves battling a parasitic alien organism capable of perfectly imitating its victims. They soon discover that this task will be harder than they thought, as they don't know which members of the team have already been assimilated and their paranoia threatens to tear them apart.",8.02,5458
{10330: 'Freaky Friday'},https://image.tmdb.org/t/p/original/ipKcZ4Up7dp18XpsfYUc9NKZy3g.jpg,2003-08-05,26000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{8944: 'Jamie Lee Curtis'},{54050: 'Mark Waters'},97,"Mother and daughter bicker over everything -- what Anna wears, whom she likes and what she wants to do when she's older. In turn, Anna detests Tess's fiancé. When a magical fortune cookie switches their personalities, they each get a peek at how the other person feels, thinks and lives.",6.401,3129
{7220: 'The Punisher'},https://image.tmdb.org/t/p/original/7rmA1HwYp2GKM85BL0cVwCaosGr.jpg,2004-04-15,33000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{8891: 'John Travolta'},{876: 'Jonathan Hensleigh'},124,"When undercover FBI agent Frank Castle's wife and son are slaughtered, he becomes 'the Punisher' -- a ruthless vigilante willing to go to any length to avenge his family.",6.286,2291
{19185: 'Night of the Living Dead'},https://image.tmdb.org/t/p/original/isp4lCv08asTPNvv8Xe8oQK293n.jpg,1990-10-19,4200000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{19384: 'Tony Todd'},{11161: 'Tom Savini'},88,"In this remake of the original classic film, a group of people are trapped inside a farmhouse as legions of the walking dead try to get inside and use them for food.",6.841,678
{180299: 'The Raid 2'},https://image.tmdb.org/t/p/original/olA39iaXISiKEkACdELgr0ZRvIF.jpg,2014-03-27,4500000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'ID', 'name': 'Indonesia'}]",{1290939: 'Arifin Putra'},{142013: 'Gareth Evans'},150,"After fighting his way through an apartment building populated by an army of dangerous criminals and escaping with his life, SWAT team member Rama goes undercover, joining a powerful Indonesian crime syndicate to protect his family and uncover corrupt members of his own force.",7.635,1907
{257211: 'The Intern'},https://image.tmdb.org/t/p/original/9UoAC9tu8kIyRy8AcJnGhnH0gOH.jpg,2015-09-24,35000000,"[{'id': 35, 'name': 'Comedy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1813: 'Anne Hathaway'},{17698: 'Nancy Meyers'},121,"70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",7.191,5679
{87: 'Indiana Jones and the Temple of Doom'},https://image.tmdb.org/t/p/original/wdv7EdutnHid5J0GERoq8lWUfq9.jpg,1984-05-23,28000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{689: 'Kate Capshaw'},{488: 'Steven Spielberg'},118,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",7.284,7536
{7278: 'Meet the Spartans'},https://image.tmdb.org/t/p/original/DWQOjAPvM8Kk1Qp3Xq0zae0Z6w.jpg,2008-01-24,30000000,"[{'id': 35, 'name': 'Comedy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{28639: 'Carmen Electra'},{35734: 'Aaron Seltzer'},84,"The heroic Leonidas, armed with nothing but leather underwear and a cape, leads a ragtag group of 13 Spartans to defend their homeland against the invading Persians (whose ranks include Ghost Rider, Rocky Balboa, the Transformers, and a hunchbacked Paris Hilton). No one is safe when the Spartans take on the biggest icons in pop culture!",4.028,1363
{42360: 'Inuyasha the Movie: Affections Touching Across Time'},https://image.tmdb.org/t/p/original/8N1EsafpP8vLDht6dosdaf735Ej.jpg,2001-12-15,10540,"[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",{28639: 'Carmen Electra'},{99203: 'Toshiya Shinohara'},99,"InuYasha is a half-demon who was trapped in the Legendary Tree and was set free by Kagome, a girl who traveled 500 years through time. This time, both of them will have to face Menomaru, a Chinese demon whose father, known as Hyoga, came 300 years ago to invade Japan, but was stopped by InuYasha's Father. InuYasha and Kagome, along with Sango, Miroku, Shippou, Kaede and Myoga, will try to stop Menomaru in his becoming the most powerful demon ever.",7.6,148
{10947: 'High School Musical'},https://image.tmdb.org/t/p/original/1DGmWZjUJPeKGFRHGCA6VPFUBML.jpg,2006-01-20,4200000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}, {'id': 10770, 'name': 'TV Movie'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{67599: 'Vanessa Hudgens'},{65310: 'Kenny Ortega'},98,"Troy, the popular captain of the basketball team, and Gabriella, the brainy and beautiful member of the academic club, break all the rules of East High society when they secretly audition for the leads in the school's musical. As they reach for the stars and follow their dreams, everyone learns about acceptance, teamwork, and being yourself.",6.579,4057
{274870: 'Passengers'},https://image.tmdb.org/t/p/original/8NT7Tnq9s0Z4CRbz3WQR15wHCiQ.jpg,2016-12-21,110000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{73457: 'Chris Pratt'},{77965: 'Morten Tyldum'},116,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",6.918,11584
{646: 'Dr. No'},https://image.tmdb.org/t/p/original/f9HsemSsBEHN5eoMble1bj6fDxs.jpg,1962-10-07,950000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{9871: 'Ursula Andress'},{9855: 'Terence Young'},110,"In the film that launched the James Bond saga, Agent 007 battles mysterious Dr. No, a scientific genius bent on destroying the U.S. space program. As the countdown to disaster begins, Bond must go to Jamaica, where he encounters beautiful Honey Ryder, to confront a megalomaniacal villain in his massive island headquarters.",6.994,2881
{415214: 'Operation Mekong'},https://image.tmdb.org/t/p/original/wghFabaZgRorsMQWuPtKUlzq4W1.jpg,2016-09-30,30200000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 10752, 'name': 'War'}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}, {'iso_3166_1': 'CN', 'name': 'China'}]",{126778: 'Eddie Peng'},{81220: 'Dante Lam'},124,Chinese narco-cops take their mission to the Golden Triangle following the Mekong River massacre of innocent fishermen by the region's drug lord.,7.0,196
{157547: 'Oculus'},https://image.tmdb.org/t/p/original/yCzR1yKRLiJyTDLgY1ppazXEmdE.jpg,2013-09-08,5000000,"[{'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1017347: 'Brenton Thwaites'},{551463: 'Mike Flanagan'},104,A woman tries to exonerate her brother's murder conviction by proving that the crime was committed by a supernatural phenomenon.,6.449,2499
{4951: '10 Things I Hate About You'},https://image.tmdb.org/t/p/original/ujERk3aKABXU3NDXOAxEQYTHe9A.jpg,1999-03-30,16000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{12041: 'Julia Stiles'},{40243: 'Gil Junger'},97,"On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.",7.552,6603
{1895: 'Star Wars: Episode III - Revenge of the Sith'},https://image.tmdb.org/t/p/original/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg,2005-05-17,113000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{3061: 'Ewan McGregor'},{1: 'George Lucas'},140,The evil Darth Sidious enacts his final plan for unlimited power -- and the heroic Jedi Anakin Skywalker must choose a side.,7.388,11668
{10634: 'Friday'},https://image.tmdb.org/t/p/original/2lReF53F8trkC68piGSfk0JVwWU.jpg,1995-04-26,3500000,"[{'id': 35, 'name': 'Comedy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{66: 'Chris Tucker'},{37932: 'F. Gary Gray'},91,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",7.132,1384
{280217: 'The Lego Movie 2: The Second Part'},https://image.tmdb.org/t/p/original/QTESAsBVZwjtGJNDP7utiGV37z.jpg,2019-01-26,99000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{9281: 'Elizabeth Banks'},{64151: 'Mike Mitchell'},106,"It's been five years since everything was awesome and the citizens are facing a huge new threat: LEGO DUPLO® invaders from outer space, wrecking everything faster than they can rebuild.",6.677,1752
{665: 'Ben-Hur'},https://image.tmdb.org/t/p/original/m4WQ1dBIrEIHZNCoAjdpxwSKWyH.jpg,1959-11-18,15000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{10019: 'Haya Harareet'},{10001: 'William Wyler'},222,"In 25 AD,Judah Ben-Hur, a Jew in ancient Judea, opposes the occupying Roman empire.  Falsely accused by a Roman childhood friend-turned-overlord of trying to kill the Roman governor, he is put into slavery and his mother and sister are taken away as prisoners.  Three years later and freed by a grateful Roman galley commander whom he has rescued from drowning, he becomes an expert charioteer for Rome, all the while plotting to return to Judea, find and rescue his family, and avenge himself on his former friend.  All the while, the form and work of Jesus move in the background of his life...",7.848,2145
{82703: 'Mr. Peabody & Sherman'},https://image.tmdb.org/t/p/original/c6kZC5pvwNIRSxiLL2JFGGc46He.jpg,2014-02-07,145000000,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{558928: 'Max Charles'},{18898: 'Rob Minkoff'},92,"A young boy and his dog, who happens to have a genius-level IQ, spring into action when their time-machine is stolen and moments in history begin to be changed.",6.71,2040
{36586: 'Blade II'},https://image.tmdb.org/t/p/original/yDHwo3eWcMiy5LnnEnlGV9iLu9k.jpg,2002-03-22,54000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{10823: 'Kris Kristofferson'},{10828: 'Guillermo del Toro'},117,"A rare mutation has occurred within the vampire community - The Reaper. A vampire so consumed with an insatiable bloodlust that they prey on vampires as well as humans, transforming victims who are unlucky enough to survive into Reapers themselves. Blade is asked by the Vampire Nation for his help in preventing a nightmare plague that would wipe out both humans and vampires.",6.496,3900
{136400: '2 Guns'},https://image.tmdb.org/t/p/original/ptURGAFktibhk7DEAbMazlmNqWa.jpg,2013-08-02,61000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{13240: 'Mark Wahlberg'},{67813: 'Baltasar Kormákur'},109,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,6.515,3511
{1402: 'The Pursuit of Happyness'},https://image.tmdb.org/t/p/original/lBYOKAMcxIvuk9s9hMuecB9dPBV.jpg,2006-12-14,55000000,"[{'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{120724: 'Jaden Smith'},{20646: 'Gabriele Muccino'},117,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,7.905,8390
{88751: 'Journey to the Center of the Earth'},https://image.tmdb.org/t/p/original/myhj05hTAcQL2rhOrMqWxiioo49.jpg,2008-07-10,45000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{27972: 'Josh Hutcherson'},{9622: 'Eric Brevig'},93,"On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.",6.039,4126
{1924: 'Superman'},https://image.tmdb.org/t/p/original/d7px1FQxW4tngdACVRsCSaZq0Xl.jpg,1978-12-13,55000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","[{'iso_3166_1': 'PA', 'name': 'Panama'}, {'iso_3166_1': 'CH', 'name': 'Switzerland'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{20011: 'Margot Kidder'},{7187: 'Richard Donner'},143,"Mild-mannered Clark Kent works as a reporter at the Daily Planet alongside his crush, Lois Lane. Clark must summon his superhero alter-ego when the nefarious Lex Luthor launches a plan to take over the world.",7.103,3081
{660120: 'The Worst Person in the World'},https://image.tmdb.org/t/p/original/4dF5NT1dxw4CItns4ckXq4309bg.jpg,2021-10-13,5000000,"[{'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'DK', 'name': 'Denmark'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'NO', 'name': 'Norway'}, {'iso_3166_1': 'SE', 'name': 'Sweden'}]",{71610: 'Anders Danielsen Lie'},{71609: 'Joachim Trier'},128,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.",7.629,607
{433: 'Mary Poppins'},https://image.tmdb.org/t/p/original/9cC1X2uv2yXRl5l3NMDakINSGKW.jpg,1964-12-17,6000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{61303: 'Dick Van Dyke'},{5834: 'Robert Stevenson'},139,A magical nanny employs music and adventure to help two neglected children become closer to their father.,7.569,4021
{4488: 'Friday the 13th'},https://image.tmdb.org/t/p/original/o1NuePMWEBuqsJgpkCNJjl2YbUL.jpg,1980-05-09,550000,"[{'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{37470: 'Adrienne King'},{35475: 'Sean S. Cunningham'},95,Camp counselors are stalked and murdered by an unknown assailant while trying to reopen a summer camp that was the site of a child's drowning.,6.395,2252
{752: 'V for Vendetta'},https://image.tmdb.org/t/p/original/2ySXWBckQboalTZjhaLWRqc3gCN.jpg,2006-02-23,54000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{1331: 'Hugo Weaving'},{11266: 'James McTeigue'},132,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",7.899,12444
{1949: 'Zodiac'},https://image.tmdb.org/t/p/original/kqERBMBQ5L45VmtDiuWmZiAhgzg.jpg,2007-03-02,65000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{131: 'Jake Gyllenhaal'},{7467: 'David Fincher'},157,A cartoonist teams up with an ace reporter and a law enforcement officer to track down an elusive serial killer.,7.504,8584
{1970: 'The Grudge'},https://image.tmdb.org/t/p/original/epllysIxLE4KRIXz49xHbwewvuE.jpg,2004-10-22,10000000,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{20386: 'Jason Behr'},{20310: 'Takashi Shimizu'},92,"An American nurse living and working in Tokyo is exposed to a mysterious supernatural curse, one that locks a person in a powerful rage before claiming their life and spreading to another victim.",5.887,2446
{251: 'Ghost'},https://image.tmdb.org/t/p/original/lcxCXEsJrSzb3FBnvtCZvkQE1OP.jpg,1990-07-12,22000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{3416: 'Demi Moore'},{3415: 'Jerry Zucker'},127,"Sam Wheat is a banker, Molly Jensen is an artist, and the two are madly in love. However, when Sam is murdered by his friend and corrupt business partner Carl Bruner over a shady business deal, he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown to set things right and protect Molly from Carl and his goons.",7.196,4647
{1124: 'The Prestige'},https://image.tmdb.org/t/p/original/bdN3gXuIZYaJP7ftKK2sU0nPtEA.jpg,2006-10-19,40000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{3894: 'Christian Bale'},{525: 'Christopher Nolan'},130,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",8.197,13282
{196867: 'Annie'},https://image.tmdb.org/t/p/original/33WsmnE5M2SSGrZCQW4dlr2D5WG.jpg,2014-12-19,65000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{134: 'Jamie Foxx'},{82511: 'Will Gluck'},119,"Annie is a young, happy foster kid who's also tough enough to make her way on the streets of New York in 2014. Originally left by her parents as a baby with the promise that they'd be back for her someday, it's been a hard knock life ever since with her mean foster mom Miss Hannigan. But everything's about to change when the hard-nosed tycoon and New York mayoral candidate Will Stacks—advised by his brilliant VP and his shrewd and scheming campaign advisor—makes a thinly-veiled campaign move and takes her in. Stacks believes he's her guardian angel, but Annie's self-assured nature and bright, sun-will-come-out-tomorrow outlook on life just might mean it's the other way around.",6.234,1137
{718032: 'Licorice Pizza'},https://image.tmdb.org/t/p/original/jD98aUKHQZNAmrk0wQQ9wmNQPnP.jpg,2021-11-26,40000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{2764542: 'Cooper Hoffman'},{4762: 'Paul Thomas Anderson'},133,"The story of Alana Kane and Gary Valentine running around and falling in love in the San Fernando Valley, 1973.",7.075,1209
{967: 'Spartacus'},https://image.tmdb.org/t/p/original/prdCmV8GkDLpguwoxBQczFAwvci.jpg,1960-10-13,12000000,"[{'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{3359: 'Laurence Olivier'},{40199: 'Anthony Mann'},197,"The rebellious Thracian Spartacus, born and raised a slave, is sold to Gladiator trainer Batiatus. After weeks of being trained to kill for the arena, Spartacus turns on his owners and leads the other slaves in rebellion. As the rebels move from town to town, their numbers swell as escaped slaves join their ranks. Under the leadership of Spartacus, they make their way to southern Italy, where they will cross the sea and return to their homes.",7.549,1700
{2907: 'The Addams Family'},https://image.tmdb.org/t/p/original/qFf8anju5f2epI0my8RdwwIXFIP.jpg,1991-11-22,30000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{5657: 'Anjelica Huston'},{5174: 'Barry Sonnenfeld'},102,"When a man claiming to be long-lost Uncle Fester reappears after 25 years lost, the family plans a celebration to wake the dead. But the kids barely have time to warm up the electric chair before Morticia begins to suspect Fester is fraud when he can't recall any of the details of Fester's life.",7.013,3658
